id,name,market,close,change,turnover,high,low
1466,聚隆,TWSE,18.3,-0.1,104084808,18.9,17.5
1467,南緯,TWSE,9.31,-0.4,55868832,10.35,9.03
1468,昶和,TWSE,12.3,0.05,453895,12.5,12.15
1470,大統新創,TWSE,21.7,0.7,21700,21.7,21.7
1471,首利,TWSE,10.9,-0.2,7801461,11.3,10.85
1472,三洋實業,TWSE,87.9,0.3,3263095,88.4,87.7
1473,台南,TWSE,20.8,0,3342044,21.2,20.55
1474,弘裕,TWSE,10.8,-0.55,13635310,11.65,10.65
1475,業旺,TWSE,27.95,0.5,307348,28.1,27.55
1476,儒鴻,TWSE,323,-0.5,288805604,330.5,322
1477,聚陽,TWSE,230,1.5,725838850,233.5,227.5
1503,士電,TWSE,241.5,3.5,1008878402,246.5,240
1504,東元,TWSE,73.1,3.1,2111662374,74.9,70.7
1506,正道,TWSE,10.55,0.05,3392442,10.65,10.45
1512,瑞利,TWSE,7.21,0.06,1830199,7.37,7.03
1513,中興電,TWSE,178.5,2,1284633669,182,177.5
1514,亞力,TWSE,126.5,3.5,1923417813,130,124.5
1515,力山,TWSE,42.75,0.75,471450957,45.05,41.45
1516,川飛,TWSE,18.65,-0.15,1411426,18.65,18.5
1517,利奇,TWSE,11.35,0.15,7564929,11.35,11.05
1519,華城,TWSE,773,0,2332705589,800,773
1521,大億,TWSE,26.25,0,545353,26.35,25.95
1522,堤維西,TWSE,30.55,-0.05,19786339,31.1,30.5
1524,耿鼎,TWSE,29.5,-0.15,22444814,30.2,29.45
1525,江申,TWSE,68,0.1,953925,69.3,67
1526,日馳,TWSE,15,0.05,2436862,15.3,14.6
1527,鑽全,TWSE,33.9,-0.3,11162261,34.45,33.7
1528,恩德,TWSE,24.05,-0.15,35798727,24.7,23.8
1529,樂事綠能,TWSE,23.2,0.1,19744217,23.7,23.1
1530,亞崴,TWSE,29.75,-0.25,2064354,30.6,29.7
1531,高林股,TWSE,13.15,0.05,3740107,13.35,13.05
1532,勤美,TWSE,23.6,0.2,11708978,23.75,23.4
1533,車王電,TWSE,37.5,0,4859140,38.2,37.4
1535,中宇,TWSE,50.3,-0.1,1442104,50.4,50.1
1536,和大,TWSE,53.1,0.9,255789984,53.9,52.2
1537,廣隆,TWSE,126.5,0,6557152,127,126
1538,正峰,TWSE,10.7,0,126060,10.7,10.2
1539,巨庭,TWSE,16.1,0.05,3008811,16.6,16.05
1540,喬福,TWSE,22.8,0,11456732,23.4,22.7
1541,錩泰,TWSE,21.6,-0.1,1148162,22.1,21.45
1558,伸興,TWSE,92.8,0.9,9699675,92.8,91.9
1560,中砂,TWSE,745,-11,468225536,769,740
1563,巧新,TWSE,71,0.5,372865642,73.3,69
1568,倉佑,TWSE,37.5,-2,38968511,39.15,37.2
1582,信錦,TWSE,82.1,-0.6,70625047,84.2,82
1583,程泰,TWSE,50.2,-0.3,1010069,51,50
1587,吉茂,TWSE,28.8,0.6,18620616,29.5,28.7
1590,亞德客-KY,TWSE,1385,-55,1189254320,1470,1385
1597,直得,TWSE,151.5,-4.5,238426010,157.5,151
1598,岱宇,TWSE,19.5,-0.15,2773883,19.8,19.4
1603,華電,TWSE,32.9,0.3,10902361,33.5,32.6
1604,聲寶,TWSE,23.8,0.3,20210755,24,23.6
1605,華新,TWSE,36.55,0.3,1094093623,38.1,36.55
1608,華榮,TWSE,35.4,0.6,270896694,36.55,35.4
1609,大亞,TWSE,43.75,3.95,1195824805,43.75,42.3
1611,中電,TWSE,13.85,0.05,27199975,14.2,13.8
1612,宏泰,TWSE,35.1,0,36319418,35.6,34.9
1614,三洋電,TWSE,32,-0.25,729106,32.4,32
1615,大山,TWSE,45.55,0.35,5422967,45.65,45.2
1616,億泰,TWSE,23.65,0.25,30575457,24.1,23.4
1617,榮星,TWSE,26.7,2.2,88441082,26.95,25.8
1618,合機,TWSE,42.2,0.5,55917288,43.15,42.15
1623,大東電,TWSE,235,21,430506387,235,218
1626,艾美特-KY,TWSE,11.35,0.15,3008508,11.95,11.25
1702,南僑,TWSE,33.85,1.3,39715929,34.25,33.4
1707,葡萄王,TWSE,93.2,0.3,51042393,94.1,92.8
1708,東鹼,TWSE,61.7,1,955421827,64.2,60.4
1709,和益,TWSE,24.85,1.15,148134131,25.45,24.1
1710,東聯,TWSE,18.65,-0.2,463867413,20.15,18.6
1711,永光,TWSE,47.35,1.65,905935175,49.75,46.25
1712,興農,TWSE,39.9,-0.25,23364428,40.3,39.9
1713,國化,TWSE,49.5,-0.15,9467680,49.9,49.15
1714,和桐,TWSE,20.9,-1.85,3217718423,25,20.55
1717,長興,TWSE,85.4,3.8,8806806252,88.6,80.7
1718,中纖,TWSE,15.2,0.25,4971122230,16.2,15.1
1720,生達,TWSE,63.9,0,9973633,64.3,63.6
1721,三晃,TWSE,29.05,2.6,322562203,29.05,26.5
1722,台肥,TWSE,48.95,0.2,160573648,49.55,48.8
1723,中碳,TWSE,85.1,0.6,38714608,85.7,84.1
1725,元禎,TWSE,36,0.9,13179923,36.6,35.1
1726,永記,TWSE,78.3,-0.1,2447628,78.5,78.2
1727,中華化,TWSE,101.5,8.8,995006719,101.5,92.2
1730,花仙子,TWSE,51.2,0,7369941,51.8,51
1731,美吾華,TWSE,20.85,0.15,2961541,20.85,20.75
