id,name,market,close,change,turnover
0050,元大台灣50,TWSE,57.25,-0.95,9763617791
0051,元大中型100,TWSE,84.2,-2.45,67991346
0052,富邦科技,TWSE,226.7,-3.95,313014876
0053,元大電子,TWSE,123.7,-3.65,3560997
0055,元大MSCI金融,TWSE,30.64,0,3136771
0056,元大高股息,TWSE,36.51,-0.45,2798026016
0057,富邦摩台,TWSE,167.35,-3.85,4026668
0061,元大寶滬深,TWSE,21.88,-0.02,15277674
1101,台泥,TWSE,23.8,-0.15,637193705
1102,亞泥,TWSE,37.15,0.05,124962040
1103,嘉泥,TWSE,13.55,-0.05,7524000
1104,環泥,TWSE,30.15,-0.65,25619610
1108,幸福,TWSE,15.05,-0.05,1581650
1109,信大,TWSE,15.65,-0.05,3105054
1110,東泥,TWSE,16.85,-0.05,3468855
1201,味全,TWSE,15.4,-0.05,8254675
1203,味王,TWSE,39.25,-0.1,341908
1210,大成,TWSE,51.7,-0.5,118220811
1213,大飲,TWSE,12.25,-0.05,61450
1215,卜蜂,TWSE,137.5,-1.5,206051096
1216,統一,TWSE,78.4,0.1,545324013
1217,愛之味,TWSE,10.5,-0.1,8619802
1218,泰山,TWSE,19.1,-0.1,9379954
1219,福壽,TWSE,13.45,-0.1,1877417
1220,台榮,TWSE,12.9,0.05,1533595
1225,福懋油,TWSE,28.95,-1,19286447
1227,佳格,TWSE,30.1,-0.2,18067930
1229,聯華,TWSE,48.2,-0.6,54557952
1231,聯華食,TWSE,128.5,-1.5,59388901
1232,大統益,TWSE,146.5,-0.5,8981751
1233,天仁,TWSE,30.5,-0.35,638872
1234,黑松,TWSE,38.1,-0.15,4471779
1235,興泰,TWSE,62.2,-0.8,906363
1236,宏亞,TWSE,24.4,0.1,2772714
1256,鮮活果汁-KY,TWSE,168,-4,16310515
1301,台塑,TWSE,38.4,-0.5,320490600
1303,南亞,TWSE,39.6,-1.3,1546816535
1304,台聚,TWSE,10.15,-0.15,17037574
1305,華夏,TWSE,11.45,-0.3,6587204
1307,三芳,TWSE,29.95,-0.7,25290575
1308,亞聚,TWSE,11.75,-0.15,6670597
1309,台達化,TWSE,10.75,-0.15,5272040
1310,台苯,TWSE,8.65,-0.17,4596942
1312,國喬,TWSE,9.55,-0.09,28633893
1313,聯成,TWSE,10.6,0,33455400
1314,中石化,TWSE,7.27,-0.1,78522421
1315,達新,TWSE,64.7,0.2,2262763
1316,上曜,TWSE,15.05,-0.1,88439191
1319,東陽,TWSE,92.2,-1.7,257994010
1321,大洋,TWSE,36.25,-0.2,3010440
1323,永裕,TWSE,19.8,0,236850
1324,地球,TWSE,10.9,-0.25,477826
1325,恆大,TWSE,29.9,-0.25,17661859
1326,台化,TWSE,29.3,-0.4,328194276
1337,再生-KY,TWSE,5.07,0.02,1205592
1338,廣華-KY,TWSE,22.1,-0.1,570958
1339,昭輝,TWSE,41.1,-0.55,3166609
1340,勝悅-KY,TWSE,8.51,0.02,8427354
1341,富林-KY,TWSE,59.9,-0.5,304633
1342,八貫,TWSE,85.2,-0.8,11769426
1402,遠東新,TWSE,27.5,-0.15,198239102
1409,新纖,TWSE,14.15,-0.15,73558306
1410,南染,TWSE,34.4,-0.1,977066
