id,name,market,close,change,turnover
0050,元大台灣50,TWSE,73.6,-3.25,39488306757
0051,元大中型100,TWSE,101.8,-4.8,25717139
0052,富邦科技,TWSE,43.38,-2.22,5372173498
0053,元大電子,TWSE,160.1,-9.5,13678119
0055,元大MSCI金融,TWSE,31.97,-0.83,12198589
0056,元大高股息,TWSE,37.58,-1.05,5654545985
0057,富邦摩台,TWSE,215.75,-10.75,38013185
0061,元大寶滬深,TWSE,23.3,-0.3,7547330
1101,台泥,TWSE,24.3,-0.85,1047487111
1102,亞泥,TWSE,34.15,-0.3,307485379
1103,嘉泥,TWSE,13.35,-0.45,9268576
1104,環泥,TWSE,28.25,-0.65,39469456
1108,幸福,TWSE,14.9,-0.2,6336030
1109,信大,TWSE,15.25,-0.25,2924102
1110,東泥,TWSE,15.9,-0.1,6880896
1201,味全,TWSE,14,-0.35,9822077
1203,味王,TWSE,38.75,-1.05,2552018
1210,大成,TWSE,51.3,0,126962090
1213,大飲,TWSE,9.35,-0.51,74989
1215,卜蜂,TWSE,159,-4.5,210079928
1216,統一,TWSE,70.8,-1.1,1019404742
1217,愛之味,TWSE,10.15,-0.25,6644363
1218,泰山,TWSE,17.9,-0.2,21392494
1219,福壽,TWSE,13.9,0.4,14270292
1220,台榮,TWSE,13.25,0.35,9684138
1225,福懋油,TWSE,34.25,1.45,73548538
1227,佳格,TWSE,29.3,-0.3,33513389
1229,聯華,TWSE,43.6,-1.65,194003428
1231,聯華食,TWSE,81.7,-2.8,44034967
1232,大統益,TWSE,151,-0.5,26411618
1233,天仁,TWSE,31.25,-1.15,881088
1234,黑松,TWSE,35.8,-0.65,16156524
1235,興泰,TWSE,38.7,-2.95,2021129
1236,宏亞,TWSE,27.65,-0.1,2485223
1256,鮮活果汁-KY,TWSE,161,-5.5,13409574
1301,台塑,TWSE,47.35,-2.85,7469349812
1303,南亞,TWSE,74.1,-8.2,4928997075
1304,台聚,TWSE,13.8,0.7,812211689
1305,華夏,TWSE,14.05,0.8,566522690
1307,三芳,TWSE,33.2,-2.05,145954276
1308,亞聚,TWSE,15.7,0.7,560048399
1309,台達化,TWSE,15.3,1.35,393964197
1310,台苯,TWSE,11.55,0.9,498757395
1312,國喬,TWSE,13.95,-0.1,1313714622
1313,聯成,TWSE,13.3,-0.2,917730818
1314,中石化,TWSE,9.81,0.89,1321463113
1315,達新,TWSE,62.7,-0.8,2555160
1316,上曜,TWSE,12.55,-0.65,31283461
1319,東陽,TWSE,87.6,-5.4,357176610
1321,大洋,TWSE,33.1,-0.95,9780779
1323,永裕,TWSE,18.35,-0.35,2468897
1324,地球,TWSE,10.45,-0.35,4485883
1325,恆大,TWSE,26.95,-0.95,11833249
1326,台化,TWSE,43.05,-2.95,4694048150
1337,再生-KY,TWSE,6.21,0.44,50885152
1338,廣華-KY,TWSE,15.6,-1.65,7810997
1339,昭輝,TWSE,40.9,-1.25,2952501
1340,勝悅-KY,TWSE,7.07,-0.2,2714989
1341,富林-KY,TWSE,58.2,-1.8,741615
1342,八貫,TWSE,94.7,-2.5,51565875
1402,遠東新,TWSE,28.7,-0.55,457042586
1409,新纖,TWSE,15,-0.55,78979055
1410,南染,TWSE,31.95,-1.15,2050722
1413,宏洲,TWSE,9.75,-0.05,165969
1414,東和,TWSE,20.55,-0.35,6463407
1416,廣豐,TWSE,11.45,-0.25,4268653
1417,嘉裕,TWSE,8.61,-0.22,1274043
1418,東華,TWSE,19,-0.25,476803
1419,新紡,TWSE,61.9,-3.5,33612886
1423,利華,TWSE,38.35,0.3,6595930
1432,大魯閣,TWSE,16.7,-0.5,10164467
1434,福懋,TWSE,16.95,-0.65,82667485
1435,中福,TWSE,19.3,-1.5,311134
1436,華友聯,TWSE,53.4,-1.5,23085144
1437,勤益控,TWSE,31,-1.05,5206222
1438,三地開發,TWSE,29.8,-2.1,2167449
1439,雋揚,TWSE,26.85,-1.05,1077705
1440,南紡,TWSE,12.6,-0.45,25035433
1441,大東,TWSE,9.92,-0.08,379468
1442,名軒,TWSE,25.8,-1.95,27650651
1443,立益物流,TWSE,24.75,-1.5,864084
1444,力麗,TWSE,6.04,-0.23,7616772
1445,大宇,TWSE,12.85,-0.45,1296652
1446,宏和,TWSE,14.85,-0.6,4827677
1447,力鵬,TWSE,5.46,-0.24,8017675
1449,佳和,TWSE,10.3,-0.5,7613949
1451,年興,TWSE,17.95,-0.6,5953397
1452,宏益,TWSE,11.05,-0.3,3017109
1453,大將,TWSE,12.1,-0.3,1281802
1454,台富,TWSE,12.7,-0.3,855400
1455,集盛,TWSE,8.92,0.07,24305326
1456,怡華,TWSE,12.95,0,987474
1457,宜進,TWSE,15.25,-0.1,4326019
1459,聯發,TWSE,11.65,-0.3,9919544
1460,宏遠,TWSE,6.65,0,5476038
1463,強盛新,TWSE,17.95,0.05,3708126
1464,得力,TWSE,10.9,-0.4,6863880
1465,偉全,TWSE,12.3,-0.15,648427
1466,聚隆,TWSE,16.8,-0.3,6797735
1467,南緯,TWSE,7.05,-0.24,1630954
1468,昶和,TWSE,12.45,-0.7,707090
1470,大統新創,TWSE,22.8,-0.7,417150
1471,首利,TWSE,12.05,-0.65,10461772
1472,三洋實業,TWSE,90.3,0.1,8477843
1473,台南,TWSE,23.6,-1.2,2831456
1474,弘裕,TWSE,10,-0.2,2092961
1475,業旺,TWSE,28.3,-1.3,1766804
1476,儒鴻,TWSE,381,-13,339917793
1477,聚陽,TWSE,292.5,-15.5,400369106
1503,士電,TWSE,203.5,-15,813969051
1504,東元,TWSE,68.8,-3.5,788546842
1506,正道,TWSE,11.4,-0.15,4077637
1512,瑞利,TWSE,7.07,-0.14,1008568
1513,中興電,TWSE,151.5,-8.5,963160599
1514,亞力,TWSE,111,-6.5,470184658
1515,力山,TWSE,24.6,-1.2,13686520
1516,川飛,TWSE,23.85,1.25,5611641
1517,利奇,TWSE,11.4,-0.7,3374770
1519,華城,TWSE,871,-55,3996736546
1521,大億,TWSE,25.15,-0.35,584400
1522,堤維西,TWSE,40.35,-1.55,31504481
1524,耿鼎,TWSE,29.25,0.3,52324229
1525,江申,TWSE,61.7,-0.3,3826156
1526,日馳,TWSE,18.2,-0.8,2844632
1527,鑽全,TWSE,32.75,-0.65,9203745
1528,恩德,TWSE,21.05,-1.35,87516980
1529,樂事綠能,TWSE,26.15,-0.9,542735187
1530,亞崴,TWSE,26.35,-1.75,2080708
1531,高林股,TWSE,11.5,-0.55,927291
1532,勤美,TWSE,22.85,-0.9,20038205
1533,車王電,TWSE,29.5,-0.8,2853232
1535,中宇,TWSE,49.5,-1,4636204
1536,和大,TWSE,52,-3.7,114795191
1537,廣隆,TWSE,122.5,-1.5,12861203
1538,正峰,TWSE,17.5,-0.3,229545
1539,巨庭,TWSE,16.35,-0.75,4420387
1540,喬福,TWSE,21.95,-0.55,9752310
1541,錩泰,TWSE,23.9,-0.9,1037551
1558,伸興,TWSE,93.6,-1.8,6178722
1560,中砂,TWSE,451,-35.5,669597863
1563,巧新,TWSE,40.6,-2.4,30132320
1568,倉佑,TWSE,21,-0.55,4979763
1582,信錦,TWSE,86,-4.5,812618365
1583,程泰,TWSE,43.85,-2.2,1578549
1587,吉茂,TWSE,37.5,-1.9,26279496
1589,永冠-KY,TWSE,6.65,-0.73,3672920
1590,亞德客-KY,TWSE,969,-71,1597389277
1597,直得,TWSE,70.3,-4.1,28088753
1598,岱宇,TWSE,18.8,-1,9939699
1603,華電,TWSE,36.2,-1.65,25080934
1604,聲寶,TWSE,23.7,-0.35,7919719
1605,華新,TWSE,30.5,-2.25,1378525630
1608,華榮,TWSE,34.4,-0.15,151703081
1609,大亞,TWSE,35.65,-2.25,211466210
1611,中電,TWSE,12.2,-0.5,11022014
1612,宏泰,TWSE,33.5,-1.3,39575724
1614,三洋電,TWSE,32.05,-1.55,4522479
1615,大山,TWSE,43.7,-2.25,18614651
1616,億泰,TWSE,26.7,-1.35,25615307
1617,榮星,TWSE,14.6,-0.8,2245816
1618,合機,TWSE,41.8,-2.2,49546014
1623,大東電,TWSE,193.5,-10,34124286
1626,艾美特-KY,TWSE,10.6,-0.1,2920541
1702,南僑,TWSE,36.35,-0.95,29476454
1707,葡萄王,TWSE,118.5,-2,38752129
1708,東鹼,TWSE,36.5,0.15,358255621
1709,和益,TWSE,17,-0.15,17318052
1710,東聯,TWSE,13.45,-0.25,181567481
1711,永光,TWSE,25.25,-2.2,437584243
1712,興農,TWSE,46.85,-0.1,74173712
1713,國化,TWSE,44.55,-1.55,8301259
1714,和桐,TWSE,9.76,-0.44,120662170
1717,長興,TWSE,57.6,-5.2,1092804976
1718,中纖,TWSE,7.56,0.02,269312337
1720,生達,TWSE,64.2,-0.4,34718448
1721,三晃,TWSE,16.15,-1.05,21884801
1722,台肥,TWSE,47.45,-0.05,602169963
1723,中碳,TWSE,67.7,-1.4,59324362
1725,元禎,TWSE,26.75,-1.55,2608054
1726,永記,TWSE,75,-1.7,5682222
1727,中華化,TWSE,45.45,-2.05,180074992
1730,花仙子,TWSE,53.1,-0.2,4997677
1731,美吾華,TWSE,21.8,-0.2,7274673
1732,毛寶,TWSE,26,-0.75,4859767
1733,五鼎,TWSE,28.5,-0.9,7500762
1734,杏輝,TWSE,30.6,-0.2,13255054
1735,日勝化,TWSE,19.2,-1.6,72337380
1736,喬山,TWSE,137,-5.5,141714600
1737,臺鹽,TWSE,31.4,-0.2,4721859
1752,南光,TWSE,36.4,-0.45,4880859
1760,寶齡富錦,TWSE,59.4,-1.8,10673946
1762,中化生,TWSE,29.55,2.65,58161374
1773,勝一,TWSE,140,-9,171274439
1776,展宇,TWSE,14.75,-0.4,622797
1783,和康生,TWSE,41.5,-1.45,7327402
1786,科妍,TWSE,66,-4.1,35157776
1789,神隆,TWSE,20.6,-1.05,35305010
1795,美時,TWSE,253.5,-14.5,1127404488
1802,台玻,TWSE,53.2,-5.9,379312934
1805,寶徠,TWSE,10.45,-0.45,2920037
1806,冠軍,TWSE,8.73,-0.17,5185843
1808,潤隆,TWSE,28.5,-1.2,52919860
1809,中釉,TWSE,23.7,-1.7,59779737
1810,和成,TWSE,17.3,-1.2,21965592
1817,凱撒衛,TWSE,38.2,-0.55,6727144
1903,士紙,TWSE,50.1,-2.4,25093150
1904,正隆,TWSE,17.65,-0.75,56608133
1905,華紙,TWSE,11.8,-0.45,21689885
1906,寶隆,TWSE,11.15,-0.45,1862978
1907,永豐餘,TWSE,24.15,-0.65,29056108
1909,榮成,TWSE,9.17,-0.37,29692344
2002,中鋼,TWSE,19.15,-0.75,1213339314
2006,東和鋼鐵,TWSE,80.9,0.5,387923220
2007,燁興,TWSE,7.87,-0.39,3387386
2008,高興昌,TWSE,28,-1,2516723
2009,第一銅,TWSE,41.4,-1.6,97358881
2010,春源,TWSE,22.2,-0.65,42048195
2012,春雨,TWSE,15.5,-1.25,2243840
2013,中鋼構,TWSE,43.8,0.9,27143694
2014,中鴻,TWSE,17.3,-0.75,128618523
2015,豐興,TWSE,67,-0.8,30206423
2017,官田鋼,TWSE,9.6,-0.39,15151952
2020,美亞,TWSE,23.8,-0.6,11326439
2022,聚亨,TWSE,8.84,-0.22,7452264
2023,燁輝,TWSE,14.8,-0.1,44403637
2024,志聯,TWSE,15,-0.75,437843
2025,千興,TWSE,10.7,-0.65,2152354
2027,大成鋼,TWSE,36.9,-0.8,975749091
2028,威致,TWSE,17.4,-0.95,2974608
2029,盛餘,TWSE,20.8,-0.6,7976318
2030,彰源,TWSE,15.5,-0.6,8306484
2031,新光鋼,TWSE,37.9,-1.15,33490878
2032,新鋼,TWSE,15.05,-0.65,6672691
2033,佳大,TWSE,15.95,-0.5,1780332
2034,允強,TWSE,19.55,-0.65,34773157
2038,海光,TWSE,14.9,-0.4,9729909
2049,上銀,TWSE,220,-10,1125543439
2059,川湖,TWSE,3000,-205,1457297450
2062,橋椿,TWSE,20.2,-0.8,11951000
2069,運錩,TWSE,18.4,-0.5,3943792
2101,南港,TWSE,33.65,-1.5,79669755
2102,泰豐,TWSE,18.5,-1.05,20519984
2103,台橡,TWSE,21.25,0.25,836229527
2104,國際中橡,TWSE,12.6,-0.25,158146730
2105,正新,TWSE,28.7,-0.65,472203247
2106,建大,TWSE,18.55,-0.75,26162058
2107,厚生,TWSE,24.9,-0.45,6418965
2108,南帝,TWSE,24.1,-1.65,32007264
2109,華豐,TWSE,14.7,-0.45,4144046
2114,鑫永銓,TWSE,88.3,-1.1,4994680
2115,六暉-KY,TWSE,22.85,-0.9,3021191
2201,裕隆,TWSE,27.75,-1.6,195237735
2204,中華,TWSE,54.1,-1.8,92095260
2206,三陽工業,TWSE,59,-1,82923922
2207,和泰車,TWSE,505,-7,293571189
2208,台船,TWSE,20.15,-1.9,161573642
2211,長榮鋼,TWSE,97.6,-2.4,100409362
2227,裕日車,TWSE,49.85,-2.45,8587922
2228,劍麟,TWSE,89.3,-2.8,41870862
2231,為升,TWSE,81,-8,44399114
2233,宇隆,TWSE,207,-20,230967349
2236,百達-KY,TWSE,109,-4,42966089
2239,英利-KY,TWSE,24.65,-0.25,3528716
2241,艾姆勒,TWSE,28.2,-1.75,6664148
2243,宏旭-KY,TWSE,11.55,-0.35,5700675
2247,汎德永業,TWSE,235.5,-11.5,57631884
2248,華勝-KY,TWSE,48.6,0,8334055
2250,IKKA-KY,TWSE,63.3,-3.3,9837757
2254,巨鎧精密-創,TWSE,69.2,-3.3,5707543
2258,鴻華先進-創,TWSE,33.65,-2.15,42534778
2301,光寶科,TWSE,149,-10,3232591142
2302,麗正,TWSE,16.9,-1.5,16256642
2303,聯電,TWSE,59.7,-2.3,6591315828
2305,全友,TWSE,12.1,-0.65,10352048
2308,台達電,TWSE,1220,-100,28223348730
2312,金寶,TWSE,22.3,-1.25,344450858
2313,華通,TWSE,183,-20,5227107219
2314,台揚,TWSE,17.85,-1.2,4747780
2316,楠梓電,TWSE,86.9,-6.1,272601481
