id,name,market,close,change,turnover
0050,元大台灣50,TWSE,66.95,1.35,5396295605
0051,元大中型100,TWSE,92.35,0.85,8813748
0052,富邦科技,TWSE,38.76,0.87,1789438944
0053,元大電子,TWSE,143.65,2.75,4865997
0055,元大MSCI金融,TWSE,31.95,0,8516670
0056,元大高股息,TWSE,37.01,0.28,2051211325
0057,富邦摩台,TWSE,195.65,4.55,482043
0061,元大寶滬深,TWSE,23.3,0.25,11149326
1101,台泥,TWSE,23,-0.2,683846695
1102,亞泥,TWSE,37.7,0.5,1124200478
1103,嘉泥,TWSE,13.85,-0.1,5331295
1104,環泥,TWSE,29.85,-0.15,26374339
1108,幸福,TWSE,14.9,-0.05,1078361
1109,信大,TWSE,15.45,-0.05,2134016
1110,東泥,TWSE,16.3,-0.25,7426610
1201,味全,TWSE,14.5,-0.05,3091035
1203,味王,TWSE,39.75,0,126398
1210,大成,TWSE,51.3,0.4,40804878
1213,大飲,TWSE,10.45,-0.1,105122
1215,卜蜂,TWSE,132,0.5,73730111
1216,統一,TWSE,77.4,0.3,675943784
1217,愛之味,TWSE,10.5,0.1,2715174
1218,泰山,TWSE,18.15,-0.05,4826587
1219,福壽,TWSE,13.45,0,2198492
1220,台榮,TWSE,12.5,0.05,1743824
1225,福懋油,TWSE,28.55,0.05,3184987
1227,佳格,TWSE,30.15,-0.05,11839932
1229,聯華,TWSE,47,-0.55,86446562
1231,聯華食,TWSE,95.7,-1.9,64185256
1232,大統益,TWSE,145,0.5,9148227
1233,天仁,TWSE,32.15,0.05,390726
1234,黑松,TWSE,37.65,-0.35,3117659
1235,興泰,TWSE,46,0.75,217396
1236,宏亞,TWSE,25.65,0.2,1259862
1256,鮮活果汁-KY,TWSE,145.5,-3,11428473
1301,台塑,TWSE,38.45,-0.55,784647790
1303,南亞,TWSE,57,-3.2,5853333897
1304,台聚,TWSE,10.65,-0.45,62603160
1305,華夏,TWSE,10.75,-0.2,18735415
1307,三芳,TWSE,31.15,-1.15,61683822
1308,亞聚,TWSE,12.85,-0.3,26940525
1309,台達化,TWSE,10.9,-0.25,16600643
1310,台苯,TWSE,8.68,-0.18,18783381
1312,國喬,TWSE,11.3,-0.45,60525021
1313,聯成,TWSE,9.83,-0.17,33511750
1314,中石化,TWSE,7.71,-0.06,132980420
1315,達新,TWSE,64.4,-0.1,270560
1316,上曜,TWSE,14.9,-0.4,48935356
1319,東陽,TWSE,97.7,0.7,162503808
1321,大洋,TWSE,35,-0.15,2451109
1323,永裕,TWSE,19.5,0.05,665058
1324,地球,TWSE,10.5,0.2,793794
1325,恆大,TWSE,30.4,0.45,10183139
1326,台化,TWSE,30.95,-1.15,632949858
1337,再生-KY,TWSE,4.79,-0.01,974810
1338,廣華-KY,TWSE,20.3,-0.3,1090575
1339,昭輝,TWSE,43.8,-0.1,1518430
1340,勝悅-KY,TWSE,7.29,-0.19,4126127
1341,富林-KY,TWSE,58.8,-1,425618
1342,八貫,TWSE,89.2,0,8255917
1402,遠東新,TWSE,27.8,0,94987596
1409,新纖,TWSE,14.75,-0.25,53790053
1410,南染,TWSE,34.45,0.15,312572
1413,宏洲,TWSE,10.05,0.05,20100
1416,廣豐,TWSE,11.95,0,1625546
1417,嘉裕,TWSE,8.92,-0.04,1274178
1418,東華,TWSE,19.95,0.1,1460561
1419,新紡,TWSE,67.2,0.6,9806171
1423,利華,TWSE,37.9,0,1706776
1432,大魯閣,TWSE,18.2,-0.05,2843138
1434,福懋,TWSE,15.8,-0.1,25708375
1435,中福,TWSE,22,0,90811
1436,華友聯,TWSE,65,0.1,8953500
1437,勤益控,TWSE,34.5,-0.05,3897396
1438,三地開發,TWSE,33.55,-0.05,772698
1439,雋揚,TWSE,29.35,-0.55,1072381
1440,南紡,TWSE,13.1,-0.15,14720206
1441,大東,TWSE,10.45,0.05,315770
1442,名軒,TWSE,28.65,-0.9,54285446
1443,立益物流,TWSE,26.5,-0.75,489335
1444,力麗,TWSE,5.97,-0.05,5022880
1445,大宇,TWSE,13,-0.05,787093
1446,宏和,TWSE,18.3,0,3539173
1447,力鵬,TWSE,5.33,-0.07,3375662
1449,佳和,TWSE,11.15,0.05,5388699
1451,年興,TWSE,17.25,-0.05,3836322
1452,宏益,TWSE,11.75,0,363692
1453,大將,TWSE,12.55,0.05,495736
1454,台富,TWSE,12.95,-0.1,764721
1455,集盛,TWSE,7.67,0.02,1981908
1456,怡華,TWSE,13.25,0.05,146164
1457,宜進,TWSE,15.9,0.1,959986
1459,聯發,TWSE,11.85,-0.25,1179429
1460,宏遠,TWSE,6.39,0.01,2960575
1463,強盛新,TWSE,18.5,-0.05,603147
1464,得力,TWSE,11,-0.05,3378376
1465,偉全,TWSE,12.6,0.1,226963
1466,聚隆,TWSE,14.1,-0.1,1312633
1467,南緯,TWSE,7.15,0.02,473745
1468,昶和,TWSE,11.7,-0.3,499660
1470,大統新創,TWSE,22.75,-0.05,45744
1471,首利,TWSE,8.83,0.05,2390901
1472,三洋實業,TWSE,88.1,0.1,2403618
1473,台南,TWSE,24.35,-0.45,2024250
1474,弘裕,TWSE,10.45,-0.2,1502849
1475,業旺,TWSE,30.6,0.25,625238
1476,儒鴻,TWSE,380.5,-4,424484212
1477,聚陽,TWSE,283.5,-5,301828290
1503,士電,TWSE,169,-1,135336257
1504,東元,TWSE,84.3,0.3,767418663
1506,正道,TWSE,11.6,-0.05,821002
1512,瑞利,TWSE,7.44,-0.08,355352
1513,中興電,TWSE,148.5,-1,315479879
1514,亞力,TWSE,98.1,-1.4,180245863
1515,力山,TWSE,27.3,-0.1,6380488
1516,川飛,TWSE,22.55,-0.35,2325517
1517,利奇,TWSE,10.9,-0.15,3185004
1519,華城,TWSE,744,-21,3118686184
1521,大億,TWSE,23.95,0.2,344671
