id,name,market,close,change,turnover
0051,元大中型100,TWSE,74.6,0.4,10579359
0052,富邦科技,TWSE,182.7,1.4,107283146
0053,元大電子,TWSE,100.1,0.65,1026054
0055,元大MSCI金融,TWSE,28.7,-0.13,4472284
0056,元大高股息,TWSE,34.65,0.05,1015801767
0057,富邦摩台,TWSE,139.65,1.2,3078401
0061,元大寶滬深,TWSE,17.58,0.02,1114458
1101,台泥,TWSE,26.75,-0.05,460950202
1102,亞泥,TWSE,42.8,-0.1,518306698
1103,嘉泥,TWSE,14.6,0.05,3865306
1104,環泥,TWSE,30.15,0,12546111
1108,幸福,TWSE,14.85,-0.05,997081
1109,信大,TWSE,17,0,511963
1110,東泥,TWSE,20,-0.1,2753293
1201,味全,TWSE,15.9,0.1,4566033
1203,味王,TWSE,39.25,0.1,667071
1210,大成,TWSE,61.5,-0.5,92998281
1213,大飲,TWSE,13.1,0.1,52212
1215,卜蜂,TWSE,114,0.5,140274306
1216,統一,TWSE,78.9,-0.5,1934619880
1217,愛之味,TWSE,10.75,0.05,3676355
1218,泰山,TWSE,22.3,-0.1,27194741
1219,福壽,TWSE,14.6,0.1,3001838
1220,台榮,TWSE,13.65,0.1,1814397
1227,佳格,TWSE,33.2,0,12099501
1229,聯華,TWSE,44.35,-0.05,40393613
1231,聯華食,TWSE,136.5,-0.5,23686013
1232,大統益,TWSE,151.5,2,14023433
1233,天仁,TWSE,31.35,0.05,782168
1234,黑松,TWSE,41.2,0.05,4728144
1235,興泰,TWSE,67.8,-0.2,1983582
1236,宏亞,TWSE,22.25,0.15,60795
1256,鮮活果汁-KY,TWSE,119,1,1438462
1301,台塑,TWSE,36,-1.5,871465103
1303,南亞,TWSE,28.7,-1.55,625372191
1304,台聚,TWSE,9.73,-0.05,17314893
1305,華夏,TWSE,10.25,-0.2,7445815
1307,三芳,TWSE,37.4,0.55,44336490
1308,亞聚,TWSE,12.25,-0.45,15157197
1309,台達化,TWSE,10.5,-0.2,7505215
1310,台苯,TWSE,8.01,-0.08,4233688
1312,國喬,TWSE,9.63,-0.27,36311960
1313,聯成,TWSE,7.96,-0.19,9711416
1314,中石化,TWSE,6.58,-0.12,45764262
1315,達新,TWSE,66.6,0,205695
1316,上曜,TWSE,14,0.15,39614818
1319,東陽,TWSE,109.5,-1,679170789
1321,大洋,TWSE,37,0,8517850
1323,永裕,TWSE,19.7,-0.1,712708
1324,地球,TWSE,11.05,0.05,73704
1325,恆大,TWSE,31.7,-0.45,30567288
1326,台化,TWSE,23.9,-1.1,360222613
1337,再生-KY,TWSE,5.47,0.06,537665
1338,廣華-KY,TWSE,25.05,0.35,1822470
1339,昭輝,TWSE,49.9,0.9,2280941
1340,勝悅-KY,TWSE,6.71,0,129407
1341,富林-KY,TWSE,67,0,135242
1342,八貫,TWSE,89.7,0.2,8055772
1402,遠東新,TWSE,33.35,0.05,246087412
1409,新纖,TWSE,12.25,0.15,14602882
1410,南染,TWSE,38,-1,1853550
1413,宏洲,TWSE,12,0,4381059
1414,東和,TWSE,19.25,0.2,10417785
1416,廣豐,TWSE,12.05,0.05,1008538
1417,嘉裕,TWSE,8.02,-0.06,415052
1418,東華,TWSE,21.85,-0.15,489770
1419,新紡,TWSE,60.4,-1.4,79068405
1423,利華,TWSE,37.55,0,411354
1432,大魯閣,TWSE,17.3,0.3,2552541
1434,福懋,TWSE,15.55,-0.1,15596035
1435,中福,TWSE,34.8,1.5,136027
1436,華友聯,TWSE,114.5,0.5,12270385
1437,勤益控,TWSE,32.3,-0.05,1458063
1438,三地開發,TWSE,37.45,-0.15,2607340
1439,雋揚,TWSE,30.2,-0.2,309992
1440,南紡,TWSE,13.1,0,8505982
1441,大東,TWSE,12.15,-0.15,268649
1442,名軒,TWSE,74.4,-0.5,49239283
1443,立益物流,TWSE,30.4,-0.1,161263
1444,力麗,TWSE,6.86,-0.03,2078984
1445,大宇,TWSE,15.3,0,491865
1446,宏和,TWSE,25.35,0.35,2567388
1447,力鵬,TWSE,6.1,-0.06,2859675
1449,佳和,TWSE,12.1,-0.05,3578876
1451,年興,TWSE,18.95,-0.1,2546609
1452,宏益,TWSE,12.05,0.1,341805
1453,大將,TWSE,14.1,-0.2,253324
1454,台富,TWSE,15.35,-0.05,163123
1455,集盛,TWSE,8.96,-0.02,2485522
1456,怡華,TWSE,12.5,0,389362
1457,宜進,TWSE,17.35,-0.2,1336676
1459,聯發,TWSE,11.85,0.3,2171145
1460,宏遠,TWSE,6.65,-0.09,1730484
1463,強盛新,TWSE,19.65,0.15,3656461
1464,得力,TWSE,12.75,-0.1,9384373
1465,偉全,TWSE,13.4,0.05,231772
1466,聚隆,TWSE,16.6,-0.15,6010877
1467,南緯,TWSE,8.14,0.06,494395
1468,昶和,TWSE,14.4,-0.05,500850
1470,大統新創,TWSE,21.7,0.05,108500
1471,首利,TWSE,10.5,-0.15,1153738
1472,三洋實業,TWSE,92.1,0,7269748
1473,台南,TWSE,26.65,-0.1,5024114
1474,弘裕,TWSE,12.7,0.2,680833
1475,業旺,TWSE,40.75,-0.25,1189749
1476,儒鴻,TWSE,425,-0.5,306230261
1477,聚陽,TWSE,243,6,710228785
1503,士電,TWSE,185,0.5,729010732
1504,東元,TWSE,53.2,-0.2,262370131
1506,正道,TWSE,11.85,0,919934
1512,瑞利,TWSE,7.82,-0.02,230868
1513,中興電,TWSE,164,2,1316721118
1514,亞力,TWSE,116,-0.5,1041245036
1515,力山,TWSE,28.6,-0.3,5804677
1516,川飛,TWSE,17.05,-0.05,831662
1517,利奇,TWSE,10.7,0.1,1277227
1519,華城,TWSE,551,23,7118159838
1521,大億,TWSE,28.4,-1.1,1453782
1522,堤維西,TWSE,45.2,0,24893035
1524,耿鼎,TWSE,28.9,-0.05,23007738
1525,江申,TWSE,62,0,682851
1526,日馳,TWSE,19.8,0.3,617768
1527,鑽全,TWSE,37.2,0.35,4990719
1528,恩德,TWSE,12.9,0.05,8146664
1529,樂事綠能,TWSE,28.15,-0.15,24441408
1530,亞崴,TWSE,31.4,-0.15,1039637
1531,高林股,TWSE,12,0.05,497228
1532,勤美,TWSE,24.9,0.15,12808784
1533,車王電,TWSE,29.45,-0.35,3100905
1535,中宇,TWSE,57.7,0.5,1907755
1536,和大,TWSE,60.3,-0.1,104541256
1537,廣隆,TWSE,140,0,7379158
1538,正峰,TWSE,26.5,0.2,428839
1539,巨庭,TWSE,18.05,0.05,792900
1540,喬福,TWSE,29.7,-0.1,5579021
1541,錩泰,TWSE,32,0.1,3484945
1558,伸興,TWSE,99.8,0,3059056
1560,中砂,TWSE,306,6.5,3833275557
1563,巧新,TWSE,56.7,0.8,13797805
1568,倉佑,TWSE,23.2,0,766490
1582,信錦,TWSE,69.1,-0.9,130036086
1583,程泰,TWSE,57.9,-0.3,1406035
1587,吉茂,TWSE,30.4,0,1298897
1589,永冠-KY,TWSE,25.55,-0.05,9804712
1590,亞德客-KY,TWSE,872,5,437044070
1597,直得,TWSE,86,-0.6,50171969
1598,岱宇,TWSE,24,0,21105814
1603,華電,TWSE,40.85,0.05,171971643
1604,聲寶,TWSE,25.85,0.15,4925785
1605,華新,TWSE,20.4,-0.45,368891707
1608,華榮,TWSE,25.65,-0.25,109762833
1609,大亞,TWSE,38.4,-0.45,175623832
1611,中電,TWSE,13.25,0.1,2302341
1612,宏泰,TWSE,38.55,0.65,823016035
1614,三洋電,TWSE,39.7,-0.15,3791583
1615,大山,TWSE,52.4,0.8,4598991
1616,億泰,TWSE,41.25,3.75,525349130
1617,榮星,TWSE,16.95,0.25,4524846
1618,合機,TWSE,48.5,0.35,214571125
1626,艾美特-KY,TWSE,11.4,0,237296
1702,南僑,TWSE,41.3,-0.05,28678986
1707,葡萄王,TWSE,130.5,-0.5,14764861
1708,東鹼,TWSE,31.75,0.3,14975411
1709,和益,TWSE,17.8,0.05,3510870
1710,東聯,TWSE,12.3,0.05,15120250
1711,永光,TWSE,16.4,-0.05,18164095
1712,興農,TWSE,42.25,0.3,17383962
1713,國化,TWSE,55.2,0,5947166
1714,和桐,TWSE,7.8,0.03,8762183
1717,長興,TWSE,25.35,-0.4,45222390
1718,中纖,TWSE,6.14,-0.03,8995137
1720,生達,TWSE,57.7,0.2,3967728
1721,三晃,TWSE,11.65,-0.05,3726313
1722,台肥,TWSE,54.5,0.7,82704241
1723,中碳,TWSE,89.8,-0.1,14715523
1725,元禎,TWSE,29.9,0.1,908429
1726,永記,TWSE,77.8,0.3,860556
1727,中華化,TWSE,22.25,-0.1,4585801
1730,花仙子,TWSE,56,0.2,2588972
1731,美吾華,TWSE,22.95,0.05,1010356
1732,毛寶,TWSE,27.15,-0.35,9230918
1733,五鼎,TWSE,28.95,0.2,1519095
1734,杏輝,TWSE,32.55,-0.05,3760391
1735,日勝化,TWSE,16.75,0.35,640661
1736,喬山,TWSE,150,7,158591752
1737,臺鹽,TWSE,32.9,0.05,1974211
1752,南光,TWSE,36.2,0.05,2257887
1760,寶齡富錦,TWSE,75.1,0.6,26264946
1762,中化生,TWSE,27.35,-0.15,758911
1773,勝一,TWSE,121.5,0,50233588
1776,展宇,TWSE,17,0,238288
1783,和康生,TWSE,45.15,-0.3,1959542
1786,科妍,TWSE,91.6,-0.2,11004765
1789,神隆,TWSE,16.95,0.05,7778497
1795,美時,TWSE,219.5,-1.5,144181666
1802,台玻,TWSE,16.3,-0.15,222121769
1805,寶徠,TWSE,12.85,0,2330170
1806,冠軍,TWSE,11.05,-0.05,4112343
1808,潤隆,TWSE,30.5,0,28136984
1809,中釉,TWSE,15.95,0.1,5383889
1810,和成,TWSE,15.9,0.05,13465714
1817,凱撒衛,TWSE,42.45,-0.05,5566286
1903,士紙,TWSE,57.9,-0.8,44517243
1904,正隆,TWSE,17.35,-0.1,9775510
1905,華紙,TWSE,12,0,7626788
1906,寶隆,TWSE,12.6,0,129352
1907,永豐餘,TWSE,24.25,-0.5,38825124
1909,榮成,TWSE,8.77,0.26,36488232
2002,中鋼,TWSE,19.1,-0.1,265304325
2006,東和鋼鐵,TWSE,63.3,-0.6,125108814
2007,燁興,TWSE,7.68,-0.02,613116
2008,高興昌,TWSE,24.8,0,199677
2009,第一銅,TWSE,32.65,-0.45,45740763
2010,春源,TWSE,19.2,-0.2,11586809
2012,春雨,TWSE,20,-0.15,621665
2013,中鋼構,TWSE,42.7,-0.15,2013995
2014,中鴻,TWSE,14.5,-0.25,52385440
2015,豐興,TWSE,63.3,0,39191064
2017,官田鋼,TWSE,9.84,-0.1,2778868
2020,美亞,TWSE,23.6,0.05,9978774
2022,聚亨,TWSE,7.95,-0.05,1227757
2023,燁輝,TWSE,15.3,0,16188983
2024,志聯,TWSE,17.2,-0.4,240336
2025,千興,TWSE,14.7,0.05,604373
2027,大成鋼,TWSE,34.3,-0.55,497255312
2028,威致,TWSE,17.1,-0.15,1036695
2029,盛餘,TWSE,23.2,-0.05,3888058
2030,彰源,TWSE,14.9,0.1,2185357
2031,新光鋼,TWSE,41.4,0.35,35374433
2032,新鋼,TWSE,14.25,-0.05,1299672
2033,佳大,TWSE,17.25,-0.3,1023379
2034,允強,TWSE,21,-0.15,15737092
2038,海光,TWSE,15,-0.2,2147075
2049,上銀,TWSE,212.5,-3,452679398
2059,川湖,TWSE,2130,-55,1268914000
2062,橋椿,TWSE,24.45,-0.1,5451846
2069,運錩,TWSE,15.45,0.05,1955624
2101,南港,TWSE,36.3,0.7,47930948
2102,泰豐,TWSE,21.5,0.35,16816371
2103,台橡,TWSE,18,0.05,7413801
2104,國際中橡,TWSE,11,-0.1,8761031
2105,正新,TWSE,41,0.05,504276775
2106,建大,TWSE,22.75,0,17247902
2107,厚生,TWSE,24.8,-0.1,6108417
2108,南帝,TWSE,24,-0.25,9271975
2109,華豐,TWSE,17.2,0,5969323
2114,鑫永銓,TWSE,91.6,-0.7,1789202
2115,六暉-KY,TWSE,27.6,0,458183
2201,裕隆,TWSE,34.7,0.4,49558347
2204,中華,TWSE,63.9,1.2,43561489
