id,name,market,close,change,turnover
0050,元大台灣50,TWSE,65.25,0.85,5628464300
0051,元大中型100,TWSE,91.25,0.05,4026205
0052,富邦科技,TWSE,37.4,0.51,1307957142
0053,元大電子,TWSE,140.3,2.15,4227541
0055,元大MSCI金融,TWSE,32.13,0.12,7731419
0056,元大高股息,TWSE,36.73,0.12,1312798506
0057,富邦摩台,TWSE,190.7,2.1,2795978
0061,元大寶滬深,TWSE,23.1,0,5657997
1101,台泥,TWSE,23.3,0.5,1090685033
1102,亞泥,TWSE,36.8,0.1,150751459
1103,嘉泥,TWSE,14.05,0.05,5491502
1104,環泥,TWSE,29.95,-0.05,16322463
1108,幸福,TWSE,14.95,0,1558190
1109,信大,TWSE,15.55,0,1664099
1110,東泥,TWSE,16.7,0.15,4163849
1201,味全,TWSE,14.65,0,4319985
1203,味王,TWSE,40.15,0.4,820675
1210,大成,TWSE,51.4,0.7,48415136
1213,大飲,TWSE,10.45,-0.25,64556
1215,卜蜂,TWSE,133.5,-2,285210782
1216,統一,TWSE,79.6,-0.9,858405842
1217,愛之味,TWSE,10.5,-0.05,3371350
1218,泰山,TWSE,18.15,0.05,2912163
1219,福壽,TWSE,13.5,0.05,1400843
1220,台榮,TWSE,12.55,0,878621
1225,福懋油,TWSE,29.3,0,19858125
1227,佳格,TWSE,30.55,0.1,12718877
1229,聯華,TWSE,48,0.3,40617154
1231,聯華食,TWSE,99.6,1.1,23611596
1232,大統益,TWSE,145.5,1,4130105
1233,天仁,TWSE,32,-0.1,162983
1234,黑松,TWSE,38.1,0.45,2875820
1235,興泰,TWSE,45.85,-0.4,1149698
1236,宏亞,TWSE,26.15,0,1648081
1256,鮮活果汁-KY,TWSE,142.5,2.5,9498665
1301,台塑,TWSE,39.5,-0.25,583679679
1303,南亞,TWSE,58.7,1.2,3608589503
1304,台聚,TWSE,11.1,0,29810938
1305,華夏,TWSE,11.1,0.15,6563359
1307,三芳,TWSE,32.8,0.1,13502841
1308,亞聚,TWSE,13.35,0.15,14518993
1309,台達化,TWSE,11.25,0.05,7009819
1310,台苯,TWSE,8.44,0.03,7166405
1312,國喬,TWSE,11.25,0.25,55544876
1313,聯成,TWSE,10.15,-0.15,25901022
1314,中石化,TWSE,7.88,0.05,66693693
1315,達新,TWSE,63.9,-0.1,661621
1316,上曜,TWSE,15.2,-0.6,81709111
1319,東陽,TWSE,98,1.4,201372553
1321,大洋,TWSE,35.05,0.05,3426135
1323,永裕,TWSE,19.5,0,444756
1324,地球,TWSE,10.45,-0.05,239417
1325,恆大,TWSE,30.3,0.1,4283507
1326,台化,TWSE,32.05,0,220825687
1337,再生-KY,TWSE,4.82,-0.04,2272069
1338,廣華-KY,TWSE,20.8,0.1,4465523
1339,昭輝,TWSE,44.3,0,1797681
1340,勝悅-KY,TWSE,7.8,-0.31,3710682
1342,八貫,TWSE,90.2,2.2,21211734
1402,遠東新,TWSE,27.8,0.1,108246164
1409,新纖,TWSE,15.15,0,30614345
1410,南染,TWSE,34,0.15,289317
1413,宏洲,TWSE,10.05,0.05,102208
1414,東和,TWSE,17.55,0.15,5263836
1416,廣豐,TWSE,11.9,-0.05,884179
1417,嘉裕,TWSE,8.98,-0.02,889704
1419,新紡,TWSE,67.8,-0.5,13434783
1423,利華,TWSE,38.5,0.2,431315
1432,大魯閣,TWSE,18.25,0.2,1793126
1434,福懋,TWSE,15.75,0.05,20563189
1435,中福,TWSE,21.7,0,166288
1436,華友聯,TWSE,65.8,0.1,11017684
1437,勤益控,TWSE,34.5,0,6695932
1438,三地開發,TWSE,33.7,-0.15,1171850
1439,雋揚,TWSE,29.9,0,717966
1440,南紡,TWSE,13.4,0.15,6658285
1441,大東,TWSE,10.45,-0.05,109192
1442,名軒,TWSE,30.6,0.2,62927511
1443,立益物流,TWSE,27.3,0.3,42417
1444,力麗,TWSE,6.08,-0.01,3969362
1445,大宇,TWSE,13.3,0.1,358031
1446,宏和,TWSE,18.3,0,1944308
1447,力鵬,TWSE,5.43,0.01,2983813
1449,佳和,TWSE,11.25,-0.05,8320503
1451,年興,TWSE,17.4,0,1212171
1452,宏益,TWSE,11.9,0.05,746493
1453,大將,TWSE,12.75,-0.05,734713
1454,台富,TWSE,13.05,-0.05,756417
1455,集盛,TWSE,7.71,-0.01,2421814
1456,怡華,TWSE,13.05,0.1,1529851
1457,宜進,TWSE,15.8,0.05,3547526
1459,聯發,TWSE,11.85,0,1122696
1460,宏遠,TWSE,6.36,0.02,4426017
1463,強盛新,TWSE,19.1,-0.35,1247746
1464,得力,TWSE,11.15,0,2925410
1465,偉全,TWSE,12.5,0.05,404827
1466,聚隆,TWSE,14.05,-0.25,1848950
1467,南緯,TWSE,7.09,0,478680
1468,昶和,TWSE,11.85,0.05,427261
1470,大統新創,TWSE,22.65,-0.55,22673
1471,首利,TWSE,8.81,0.03,1475709
1472,三洋實業,TWSE,88.3,-0.3,4229818
1473,台南,TWSE,24.8,-0.05,982114
1474,弘裕,TWSE,10.75,-0.2,2074578
1475,業旺,TWSE,30.3,0.3,725418
1476,儒鴻,TWSE,384.5,0.5,152096213
1477,聚陽,TWSE,294.5,0,131112958
1503,士電,TWSE,173.5,0,117239603
1504,東元,TWSE,87.4,0.9,1545921725
1506,正道,TWSE,11.55,-0.05,636282
1512,瑞利,TWSE,7.55,-0.04,271071
1513,中興電,TWSE,150.5,0,203791444
1514,亞力,TWSE,101,-2,90483332
1515,力山,TWSE,27.9,0.1,2996614
1516,川飛,TWSE,24,0.7,5435409
1517,利奇,TWSE,11.1,0,1928076
1519,華城,TWSE,778,-7,1212600482
1521,大億,TWSE,24,0.05,321454
1522,堤維西,TWSE,46.8,0.25,45473890
1524,耿鼎,TWSE,28.4,0.2,11374159
1525,江申,TWSE,63.6,-0.5,956803
1526,日馳,TWSE,16.85,0.15,1293442
1527,鑽全,TWSE,32.8,0.3,7066172
1528,恩德,TWSE,22.05,2,840231961
1529,樂事綠能,TWSE,19.3,0.2,7129151
1530,亞崴,TWSE,27.25,-0.1,1209421
1531,高林股,TWSE,12.05,0.15,1777901
1532,勤美,TWSE,26.65,0,10131976
1533,車王電,TWSE,31.95,-0.2,1754983
1535,中宇,TWSE,52.5,-0.5,2806349
1536,和大,TWSE,56.8,-0.4,59374796
1537,廣隆,TWSE,125.5,1,6134501
1538,正峰,TWSE,26.3,-0.05,86858
1539,巨庭,TWSE,17.35,0.3,1492553
1540,喬福,TWSE,23.25,0.05,4398398
1541,錩泰,TWSE,23.25,-0.2,1115468
1558,伸興,TWSE,102,-0.5,1775094
1560,中砂,TWSE,377.5,2.5,943746376
1563,巧新,TWSE,48.05,0.35,49397073
1568,倉佑,TWSE,22.75,0.25,1980605
1582,信錦,TWSE,66.8,1.2,25405351
1583,程泰,TWSE,44.85,-0.95,1187397
1587,吉茂,TWSE,52.9,-0.2,98982704
1589,永冠-KY,TWSE,16.9,-0.05,11741410
1590,亞德客-KY,TWSE,932,-7,148910480
1597,直得,TWSE,72.9,0.8,10106453
1598,岱宇,TWSE,20.8,0,1637309
1603,華電,TWSE,37.6,-0.2,13196375
1604,聲寶,TWSE,24.55,0.1,12024324
1605,華新,TWSE,32.3,-1.15,6678368784
1608,華榮,TWSE,39.2,-0.3,1400901861
