id,name,market,close,change,turnover
0050,元大台灣50,TWSE,52.9,0.05,3172099727
0051,元大中型100,TWSE,80.6,-0.05,6710018
0052,富邦科技,TWSE,207.9,0.2,90763056
0053,元大電子,TWSE,114.05,-0.55,1719066
0055,元大MSCI金融,TWSE,30.11,0.29,6482668
0056,元大高股息,TWSE,35.21,-0.02,875654282
0057,富邦摩台,TWSE,156.9,-0.1,20336094
0061,元大寶滬深,TWSE,19.24,0.12,2657677
1101,台泥,TWSE,24.75,0.15,390589860
1102,亞泥,TWSE,39.3,-0.25,171930729
1103,嘉泥,TWSE,13.7,-0.1,8481143
1104,環泥,TWSE,26.8,0.05,8267769
1108,幸福,TWSE,15.15,0.65,30233636
1109,信大,TWSE,16.1,-0.05,803042
1110,東泥,TWSE,18.3,0.1,2755418
1201,味全,TWSE,15.5,0,3271910
1203,味王,TWSE,40,0.2,273866
1210,大成,TWSE,54.5,-0.5,222663848
1213,大飲,TWSE,12.65,-0.3,131086
1215,卜蜂,TWSE,126,5.5,267630549
1216,統一,TWSE,77.8,0,848049256
1217,愛之味,TWSE,10.75,0,6624176
1218,泰山,TWSE,19.1,0.1,9272914
1219,福壽,TWSE,13.9,-0.1,5203954
1220,台榮,TWSE,13.25,0,2437528
1225,福懋油,TWSE,31.9,-0.25,3759764
1227,佳格,TWSE,30.4,-0.45,47512965
1229,聯華,TWSE,44.9,-0.35,73077868
1231,聯華食,TWSE,142.5,-1,51368224
1232,大統益,TWSE,148,0,13565184
1233,天仁,TWSE,30.9,0,127736
1234,黑松,TWSE,40,0,4257291
1236,宏亞,TWSE,20.75,-0.1,298027
1256,鮮活果汁-KY,TWSE,121,-0.5,1647403
1301,台塑,TWSE,39.7,1.25,2035634392
1303,南亞,TWSE,41.4,1.55,6830042653
1304,台聚,TWSE,10.9,0.65,39490070
1305,華夏,TWSE,11.4,0.5,18228329
1307,三芳,TWSE,31.25,0.05,29662113
1308,亞聚,TWSE,12.35,0.55,26424859
1309,台達化,TWSE,11.7,0.35,10299754
1310,台苯,TWSE,9.48,0.18,16153914
1312,國喬,TWSE,10.05,0.36,61836249
1313,聯成,TWSE,10.1,0.37,53634915
1314,中石化,TWSE,7.31,0.13,121895546
1315,達新,TWSE,66.5,0.1,1210038
1319,東陽,TWSE,102,0,220963443
1321,大洋,TWSE,36.75,-0.2,4497242
1323,永裕,TWSE,19.75,0.05,1092977
1324,地球,TWSE,10.95,0,81285
1325,恆大,TWSE,28.8,0,7012337
1326,台化,TWSE,29.2,1.2,1419005312
1337,再生-KY,TWSE,5.4,0,425637
1338,廣華-KY,TWSE,23.35,-0.1,2539103
1339,昭輝,TWSE,48.7,-0.85,4809462
1340,勝悅-KY,TWSE,6.16,-0.01,456403
1341,富林-KY,TWSE,63.1,-0.3,383547
1342,八貫,TWSE,86,-0.7,15055757
1402,遠東新,TWSE,27.45,-0.3,521223281
1409,新纖,TWSE,12.55,0.05,20189472
1410,南染,TWSE,35.5,0.2,264419
1413,宏洲,TWSE,11.6,-0.1,157990
1414,東和,TWSE,17,0.35,5531521
1416,廣豐,TWSE,11.7,0.05,617055
1417,嘉裕,TWSE,8.02,0.01,662571
1418,東華,TWSE,23.95,-0.75,833976
1419,新紡,TWSE,53.4,2,35733629
1423,利華,TWSE,37.55,0.25,802212
1432,大魯閣,TWSE,16.7,0,1527442
1434,福懋,TWSE,16.05,0.25,21664650
1435,中福,TWSE,32.5,1.5,65313
1436,華友聯,TWSE,74.6,-0.3,24844316
1437,勤益控,TWSE,29.8,-0.95,31682339
1438,三地開發,TWSE,38.15,-0.2,1573696
1439,雋揚,TWSE,29.65,-0.15,301135
1440,南紡,TWSE,13.3,0.35,26701268
1441,大東,TWSE,11.45,-0.2,519869
1442,名軒,TWSE,67.1,-0.9,23719252
1443,立益物流,TWSE,30.9,-0.1,123641
1444,力麗,TWSE,6.38,0.15,9200310
1445,大宇,TWSE,14.5,0.1,1385897
1446,宏和,TWSE,20.45,-0.05,4133171
1447,力鵬,TWSE,5.79,0.06,16061798
1449,佳和,TWSE,12.25,0,11816690
1451,年興,TWSE,18.15,0,2683177
1452,宏益,TWSE,11.75,0,1030833
1453,大將,TWSE,13.1,0,378818
1454,台富,TWSE,14.35,-0.05,941040
1455,集盛,TWSE,9,0.09,3052610
1456,怡華,TWSE,12.35,-0.1,969466
1457,宜進,TWSE,16.85,-0.1,2710425
1459,聯發,TWSE,11.9,0.05,784053
1460,宏遠,TWSE,6.19,-0.01,2284665
1463,強盛新,TWSE,20.4,-0.05,3109202
1464,得力,TWSE,12.05,0.05,2414829
1465,偉全,TWSE,13.5,-0.05,945739
1466,聚隆,TWSE,14.6,0.05,1902584
1467,南緯,TWSE,7.62,0.22,2314955
1468,昶和,TWSE,14.35,-0.05,484550
1470,大統新創,TWSE,20.4,0,63006
1471,首利,TWSE,10.35,0.15,2793276
1472,三洋實業,TWSE,92.7,0.1,2778700
1473,台南,TWSE,25.05,-0.05,16894443
1474,弘裕,TWSE,12.6,0,269238
1475,業旺,TWSE,37.4,-0.9,15768719
1476,儒鴻,TWSE,379,5,164554827
1477,聚陽,TWSE,263,-3.5,224732425
1503,士電,TWSE,180,-4.5,497301205
1504,東元,TWSE,54.5,-0.8,741130919
1506,正道,TWSE,11.3,0,586666
1512,瑞利,TWSE,8.31,0.16,636696
1513,中興電,TWSE,164,-2.5,687013643
1514,亞力,TWSE,106.5,-1.5,153706195
1515,力山,TWSE,30.2,0,6798959
1516,川飛,TWSE,14.3,0,235355
1517,利奇,TWSE,10.5,0.45,6785452
1519,華城,TWSE,663,-12,2764875876
1521,大億,TWSE,25.2,0,628077
1522,堤維西,TWSE,43.75,2.25,276717060
1524,耿鼎,TWSE,28.2,0.15,27007663
1525,江申,TWSE,67.7,0.9,3844043
1526,日馳,TWSE,19.2,0.4,1539477
1527,鑽全,TWSE,33.25,-0.8,33215717
1528,恩德,TWSE,18.55,1.65,574035290
1529,樂事綠能,TWSE,26.8,0.75,25005006
1530,亞崴,TWSE,28.85,0.05,1092449
1531,高林股,TWSE,12.1,0,968850
1532,勤美,TWSE,24.95,0,9379852
1533,車王電,TWSE,30.6,-0.05,1147862
1535,中宇,TWSE,56.1,0.4,5159110
1536,和大,TWSE,64.8,0.8,586905819
1537,廣隆,TWSE,143,0,33527645
1538,正峰,TWSE,26.85,-0.25,400960
1539,巨庭,TWSE,18.55,-0.15,3103970
1540,喬福,TWSE,26.95,0.05,12806750
1541,錩泰,TWSE,25.8,-0.4,1688292
1558,伸興,TWSE,97,-0.1,3215039
1560,中砂,TWSE,304,-5,896968652
1563,巧新,TWSE,50.4,0,24130522
1568,倉佑,TWSE,23.05,0.1,1350069
1582,信錦,TWSE,67.8,0.4,36709260
1583,程泰,TWSE,52,0.5,1681055
1587,吉茂,TWSE,34.2,1.85,28490420
1589,永冠-KY,TWSE,22.4,0.25,7524681
1590,亞德客-KY,TWSE,795,-2,432168807
1597,直得,TWSE,90,-1.7,156404763
1598,岱宇,TWSE,21.4,0,4150670
1603,華電,TWSE,38.85,0,15747511
1604,聲寶,TWSE,24.5,0,4088826
1605,華新,TWSE,21.65,0.15,245874389
1608,華榮,TWSE,27.5,0.35,101864846
1609,大亞,TWSE,38.8,-1.75,813643275
1611,中電,TWSE,13.2,0.05,6521252
1612,宏泰,TWSE,36.75,-0.4,83663079
1614,三洋電,TWSE,37.95,-0.05,1713809
1615,大山,TWSE,52.7,0,6647172
1616,億泰,TWSE,37.8,-1.5,574453703
1617,榮星,TWSE,15.5,-0.2,2557391
1618,合機,TWSE,50,0.7,109989235
1626,艾美特-KY,TWSE,12.1,-0.1,1040168
1702,南僑,TWSE,40.3,0.05,11153735
1707,葡萄王,TWSE,126,-0.5,9195394
1708,東鹼,TWSE,31.7,-0.1,28018637
1709,和益,TWSE,18.55,0.1,5850577
1710,東聯,TWSE,12.5,0.35,19929489
1711,永光,TWSE,17,0.35,78598420
1712,興農,TWSE,42.5,0,16747548
1713,國化,TWSE,44.7,0.5,24903542
1714,和桐,TWSE,8,0.08,11758737
1717,長興,TWSE,29,-0.65,85108252
1718,中纖,TWSE,6.49,0.03,13756194
1720,生達,TWSE,54.7,-0.1,9832484
1721,三晃,TWSE,13,0.4,71408861
1722,台肥,TWSE,52.7,-0.1,45789856
1723,中碳,TWSE,83.2,-0.4,36919971
1725,元禎,TWSE,29.5,-0.05,1076420
1726,永記,TWSE,75.1,-0.5,1140720
1727,中華化,TWSE,34.5,0.9,273820337
1730,花仙子,TWSE,53.6,-0.3,1899321
1731,美吾華,TWSE,21.9,0.1,1938262
1732,毛寶,TWSE,29.15,0.35,7411188
1733,五鼎,TWSE,29,0,4960618
1734,杏輝,TWSE,32.3,0.6,8516717
1735,日勝化,TWSE,16.1,0.45,267006
1736,喬山,TWSE,155,-1.5,108627663
1737,臺鹽,TWSE,33,0.05,5945491
1752,南光,TWSE,35.5,0,3280149
1760,寶齡富錦,TWSE,70.3,0.1,6036137
1762,中化生,TWSE,28.5,0,1023015
1773,勝一,TWSE,137,7,278052035
1776,展宇,TWSE,15.8,0,487569
1783,和康生,TWSE,42.7,-0.2,6588253
1786,科妍,TWSE,93.3,0,68719882
1789,神隆,TWSE,16.7,0.05,6169436
1795,美時,TWSE,208.5,-6.5,434701534
1802,台玻,TWSE,27.15,2.45,7205188581
1805,寶徠,TWSE,12.9,-0.1,324760
1806,冠軍,TWSE,10.25,0.05,6716075
1808,潤隆,TWSE,30.4,-0.5,45074262
1809,中釉,TWSE,17.6,1.1,75123207
1810,和成,TWSE,19.5,0.8,124758305
1817,凱撒衛,TWSE,37.55,-0.15,3355544
1903,士紙,TWSE,53.8,1.5,22322230
1904,正隆,TWSE,18.6,0,9350510
1905,華紙,TWSE,12.3,-0.2,18432809
1906,寶隆,TWSE,12.5,0.3,4187538
